area,perimeter,centroid_x,centroid_y,bounding_x,bounding_y,bounding_w,bounding_h,aspect_ratio,extent,solidity,convex_hull_area,m00,m10,m01,mu20,mu02,mu11,hu1,hu2,hu3,hu4,hu5,hu6,hu7,chain_length_8,chain_length_4,normalized_chain_mean,fd_0,fd_1,fd_2,fd_3,fd_4,fd_5,fd_6,fd_7,fd_8,fd_9,fd_10,fd_11,fd_12,fd_13,fd_14,fd_15,fd_16,fd_17,fd_18,fd_19,label,filename
2070.0,341.1959581375122,129,137,93,122,82,33,2.484848484848485,0.7649667405764967,0.852202552490737,2429.0,2070.0,268241.8333333333,284555.3333333333,994890.3937063888,160479.48867418617,-20619.548604398966,0.5692196483768748,1.420061909193345,3.402566912621095,3.384964486604613,6.778702823101384,4.0950635559079265,8.255275768589081,317,317,1.490506329113924,24.36111702799224,1.0,0.4200924040748561,0.42839108899225503,0.28887104143291337,0.15659807077070692,0.16073218306894047,0.05407331186255229,0.04702244602191553,0.04392554484948819,0.03157074499517815,0.0842080352663154,0.04690276650779647,0.03155188659818259,0.06135035505124363,0.015264577377033859,0.03167344467494889,0.030841047897795536,0.03734646042034339,0.034710726221447684,baterai,baterai_1.jpg
2854.5,316.9533175230026,128,157,115,94,28,129,0.21705426356589147,0.790282392026578,0.9147572504406345,3120.5,2854.5,367705.6666666666,449266.1666666666,126019.25323078036,3831819.541605845,-104458.0164238736,0.3136019934418042,0.6829780870461672,4.704053769664337,5.686519371608033,-9.947717234448415,-6.027991597818021,9.987411345353925,294,294,1.1706484641638226,9.479852667119339,1.0,0.022938750014247573,0.024459804026268718,0.005457911030357964,0.019338848958475492,0.009453625525413224,0.010177198162282441,0.0028845962674549216,0.026757303665352953,0.007022862107639042,0.009251313571295524,0.002351891623075763,0.005781077539414004,0.0031198516964057134,0.0019747449896063665,0.004685192382827664,0.002388652547276422,0.0029962116812081194,0.0016438604826096025,baterai,baterai_2.jpg
2775.0,309.36247873306274,136,155,100,99,70,118,0.5932203389830508,0.33595641646489105,0.8751182592242195,3171.0,2775.0,378707.6666666666,431195.6666666666,650981.6199599653,2591918.0758158267,-1121051.6982382312,0.37559245884087816,0.8288525511688808,2.536986763878727,2.6741278997289504,5.279709389524207,3.0889673137890172,-7.192199199941197,257,257,3.12109375,10.763784807687587,1.0,0.0192889821431081,0.032186189658705726,0.03607307750454003,0.06024380868041608,0.017097749944049653,0.03272667072152283,0.005212728931049275,0.02394513230324585,0.009527079227540853,0.011876336910981104,0.014998124787471858,0.008844218677831679,0.002723818490789429,0.002125104730475268,0.003345870211531474,0.00704088604713682,0.0060689756794633535,0.00569781448154142,baterai,baterai_3.jpg
2623.0,414.29855132102966,117,153,83,104,80,108,0.7407407407407407,0.303587962962963,0.7782228156059932,3370.5,2623.0,308988.0,403285.3333333333,948746.3525860906,1958099.103846319,1151618.732844077,0.37417463812852225,0.8742221919264438,2.090102797352514,2.15613221652712,4.27997857404097,2.5940336181299974,5.5164152883453905,323,323,1.7608695652173914,16.878335754668147,1.0,0.9062007923559822,0.4387408393362128,0.2754163134119999,0.11050762074652595,0.029864833524606272,0.09757140891616096,0.05146680019175264,0.052712443587315104,0.041728490170854664,0.030396885986897694,0.012860035177037885,0.0060788240400244985,0.021781002984802265,0.017385507217817512,0.013391439525849851,0.003961991571869445,0.00412042945003531,0.010503279358996477,baterai,baterai_4.jpg
3589.5,331.1543279886246,238,146,223,79,30,139,0.2158273381294964,0.8607913669064748,0.9319745553680384,3851.5,3589.5,855383.5,526763.5,210876.79610672593,5438661.921750948,86911.01394693553,0.3580549259095413,0.7830205085352914,3.490950737073385,3.6601866249478006,7.235359357931935,4.061048297102327,8.613430123214766,314,314,0.7635782747603834,12.305071426773631,1.0,0.012116312540975912,0.024277786412410306,0.006086777023529517,0.03386052502892309,0.0073275714761332905,0.018036821355612766,0.005391176314086079,0.01977826533247575,0.005502598236243177,0.007040570799071936,0.0046806992000234466,0.0016929171769319014,0.003251592843673704,0.0014934912112435875,0.0030396604980254998,0.006280089329150494,0.004016649633166506,0.0030445436176669404,baterai,baterai_5.jpg
3277.5,332.46803629398346,53,149,40,86,30,132,0.22727272727272727,0.8276515151515151,0.9092800665834374,3604.5,3277.5,176263.0,491321.0,181860.36739130318,4542174.219565198,-82273.67644928023,0.3567723319910895,0.7825172529376144,3.60056065886147,3.796675713795149,7.495472768771872,4.195047180694407,8.554864356190954,312,312,0.9485530546623794,7.58791520339656,1.0,0.04185668373280259,0.02773126019036889,0.012803007563384608,0.02656720589543541,0.007847620812158717,0.01584741320589694,0.02146206641609093,0.02812147364328955,0.004410749809066486,0.009349263058356162,0.0031073945101329995,0.007813461715187299,0.012812733507674296,0.012590485806540305,0.011645972854725864,0.011874893540017705,0.005036232308339541,0.004579142233898431,baterai,baterai_6.jpg
5548.0,420.71067690849304,167,147,122,108,84,84,1.0,0.786281179138322,0.8312855858555589,6674.0,5548.0,927366.3333333333,815819.6666666666,3033829.0040655434,3274663.1360049695,252637.42155331373,0.6883473382945724,3.4805800904883344,3.9765562403918295,3.752916104900766,-7.627117683269311,-5.493201673873389,-8.25702532345478,399,399,0.8618090452261307,85.45083174225434,1.0,1.9558542579957108,2.4110565614865087,1.0978096390528598,1.1380593889818504,0.7449727628677879,0.37873647621011614,0.16426149517277092,0.2214584921974479,0.08172864284104962,0.061486950319772866,0.023806001147056357,0.07212697947249569,0.17872291785716474,0.04335125370968347,0.014550877266721395,0.040099279615106564,0.0710585489119307,0.012761698981933325,korek_api,korek_api_1.jpg
7008.0,355.4558436870575,163,151,133,92,63,121,0.5206611570247934,0.9193231011412829,0.9793180547792063,7156.0,7008.0,1147991.1666666665,1062001.8333333333,2043505.5558370352,8173552.346552372,96530.62635961175,0.6818623314777599,1.807018232831811,5.998863419836158,6.788469938674886,9.999761532015233,7.855638869963502,9.999843601358497,347,347,0.3439306358381503,17.23470298804221,1.0,0.01004949500270816,0.2837418330413071,0.0021673144393868312,0.1308055234185374,0.0065197687515794744,0.016042156999250986,0.0007923628060307451,0.02826650404100893,0.007722963644226001,0.02581735988266863,0.00263471188750561,0.005524061515809365,0.0015771282769713256,0.007443757848089614,0.0016572839452608898,0.008611360533830246,0.001564883765795977,0.005324800919875339,korek_api,korek_api_2.jpg
6661.0,479.1269783973694,167,144,114,76,102,145,0.7034482758620689,0.45037187288708586,0.8566100823045267,7776.0,6661.0,1115484.8333333333,960973.1666666666,3044543.289692074,6776574.090572834,-1222448.838295877,0.6549179654327355,1.99518292563239,3.9022504550090966,3.521435053237152,7.367317459704466,4.544771019840783,-7.399351371962275,387,387,2.378238341968912,32.18384884688748,1.0,1.2226729221017647,0.9918287774815807,0.13565358633267274,0.42106962166329936,0.1503327847668973,0.1930023952768436,0.02140395687830691,0.06356765719484178,0.03811820839866454,0.03043456367711748,0.07661909275460964,0.022294020431812594,0.011524545124031992,0.04045951803149621,0.027011478376459987,0.008125836812538098,0.007748260916226756,0.012406138364007202,korek_api,korek_api_3.jpg
9334.5,413.7127648591995,168,143,113,63,112,160,0.7,0.5208984375,0.9854835304054054,9472.0,9334.5,1572802.5,1335137.8333333333,5319640.47963202,11117164.994466484,2597256.8556363583,0.7243647044429562,2.0979327257335454,6.093080350324751,7.217701055344891,9.999964323728339,9.073148738460635,-9.999954246540893,322,322,2.1401869158878504,19.71422490848828,1.0,0.01579328061715553,0.469716084387705,0.016529350539200897,0.16147505636690695,0.006929633603803895,0.022111563469863357,0.004764628511861756,0.04945774643068789,0.005322191464527554,0.02341670946529905,0.001981374715159842,0.012906571130784474,0.00146426590028139,0.01493903812614622,0.0015131712298865107,0.008929068111388138,0.0023889602472724238,0.0053188288203961315,korek_api,korek_api_4.jpg
